id,name
141,137
256,137
700,137
768,137
791,137
899,137
1058,137
1376,137
1411,137
1422,137
1570,137
1664,137
1685,0
1685,1
1685,2
1685,3
1685,4
1685,5
1771,137
1920,137
2033,137
2350,137
2363,137
2736,137
2780,137
2928,137
3009,137
3160,137
3251,137
3391,137
3399,137
3448,137
4263,137
5064,137
5337,137
5512,137
5524,137
5568,137
5590,137
5827,137
5934,137
5967,137
6045,137
6207,137
6375,137
6493,137
6509,137
7167,137
7242,137
7283,137
7820,137
7895,137
8164,137
8308,137
8600,137
8694,137
8751,6
8751,7
8792,8
8792,9
8792,10
8792,11
8792,12
8792,13
8792,14
8792,15
8792,16
8792,17
8792,18
8792,19
9101,20
9101,21
9101,22
9101,23
9101,24
9101,25
9101,26
9101,27
9101,28
9101,29
9101,30
9101,12
9101,31
9101,32
9101,33
9101,34
9101,35
9101,36
9101,37
9101,38
9101,39
9272,9
9272,14
9272,40
9272,41
9272,38
9272,39
9320,137
9403,137
9659,42
9659,43
9659,44
9659,45
9659,24
9659,46
9659,27
9659,37
9659,18
9659,19
9757,6
9757,7
10186,47
10186,48
10186,49
10186,50
10186,51
10186,52
10186,53
10186,18
10186,19
10417,54
10417,55
10417,56
10417,57
10417,58
10417,38
10417,39
10657,137
11001,137
11131,137
11239,137
11328,137
11504,6
11504,7
11593,59
11593,44
11593,60
11593,61
11593,62
11593,63
11593,64
11593,65
11593,66
11593,67
11593,38
11593,39
11727,137
11741,137
11896,6
11896,7
11960,137
12071,137
12075,68
12075,69
12075,70
12075,71
12075,15
12075,72
12075,73
12075,38
12075,39
12544,43
12544,74
12544,18
12544,19
12665,137
12666,137
13022,137
13153,137
13331,75
13331,76
13331,77
13331,78
13331,79
13331,80
13331,19
13335,137
13433,137
13437,81
13437,82
13437,83
13437,84
13437,85
13437,86
13437,87
13437,88
13437,72
13437,73
13437,18
13437,19
13711,89
13711,90
13711,26
13711,27
13711,91
13711,92
13711,37
13711,18
13711,19
13842,137
14153,137
14508,93
14508,94
14508,9
14967,89
14967,95
14967,96
14967,97
14967,98
14967,27
14967,14
14967,18
14967,19
14973,137
15029,93
15029,27
15029,28
15029,99
15029,100
15029,36
15029,38
15029,39
15462,137
15468,137
15564,137
15568,137
15730,101
15730,102
15730,103
15730,104
15730,105
15764,106
15764,107
15764,108
15764,109
15764,14
15764,34
15764,110
15764,18
15764,19
15920,137
16068,137
16721,137
17100,137
17247,137
17495,137
17497,137
17604,137
17798,137
18225,137
18269,137
18428,137
18811,137
18953,137
19146,137
19445,137
19547,137
19582,137
19639,137
19688,137
19866,137
19984,137
20034,137
20071,137
20360,137
20411,137
20631,137
20749,137
21037,137
21093,137
21110,137
21140,137
21203,137
21458,137
21470,137
21523,137
21862,137
21902,137
22078,137
22228,137
22445,137
22530,137
22541,137
22567,137
22583,137
22768,137
22794,137
23066,137
23081,137
23303,137
23341,137
23376,137
23396,137
23561,137
23773,137
23970,137
23972,137
23985,137
24036,137
24398,137
24401,137
24418,137
24915,137
24937,137
24998,137
25191,137
25273,137
25286,137
25791,137
25897,137
26057,137
26150,137
26536,137
26554,137
26562,137
26616,137
26617,137
26829,137
26929,137
27128,137
27272,111
27272,112
27272,113
27272,114
27272,115
27272,116
27309,137
27373,137
27701,137
27786,137
27885,137
27893,117
27893,118
27893,119
27893,120
27893,121
27893,122
27893,123
27893,124
28303,137
28369,125
28544,126
28544,127
28544,128
28544,129
28544,130
28544,131
28544,132
28544,133
28983,137
29104,137
29286,137
29553,137
29626,134
29626,135
29669,134
29669,135
29683,137
29832,137
29985,136
30453,137
30562,137
31019,137
31398,137
32950,137
32957,137
32995,137
33402,137
33458,137
33526,137
33533,137
33591,137
33698,137
33782,137
34197,137
34422,137
34573,137
34827,137
35136,137
35379,137
35661,137
35815,137
35845,137
35900,137
36244,137
36296,137
36296,138
36296,139
36314,137
36471,140
36471,141
36471,142
36471,143
36471,144
36471,145
36471,146
36471,147
36471,148
36475,137
36741,137
36979,137
37031,137
37119,137
37134,137
37277,137
37351,137
37365,137
37409,137
37647,137
37771,137
37842,137
38042,137
38330,137
38549,149
38549,150
38549,151
38572,137
38616,152
38616,153
38616,154
38616,155
38652,156
38652,157
38652,158
38652,159
38652,160
38652,161
38736,162
38736,1
38736,163
38736,164
39134,137
39208,165
39208,166
39208,167
39208,168
39208,15
39208,169
39208,17
39208,18
39208,19
39259,137
39468,137
39477,170
39477,171
39477,172
39477,173
39477,174
39477,175
39550,176
39550,177
39550,178
39550,179
39550,180
39558,181
39558,182
39558,183
39558,184
39558,185
39558,186
